rank,category,racename,race_id,rider_name,rider_id,points,jpp
1,1.WT3,Cadel Evans Great Ocean Road Race,40904,MAYRHOFER Marius,29192,0.0,0
2,1.WT3,Cadel Evans Great Ocean Road Race,40904,PAGE Hugo,30663,0.0,0
3,1.WT3,Cadel Evans Great Ocean Road Race,40904,CLARKE Simon,3366,0.0,0
4,1.WT3,Cadel Evans Great Ocean Road Race,40904,MATTHEWS Michael,13066,0.0,0
5,1.WT3,Cadel Evans Great Ocean Road Race,40904,STRONG Corbin,29492,0.0,0
6,1.WT3,Cadel Evans Great Ocean Road Race,40904,EWAN Caleb,19651,0.0,0
7,1.WT3,Cadel Evans Great Ocean Road Race,40904,SMITH Dion,21036,0.0,0
8,1.WT3,Cadel Evans Great Ocean Road Race,40904,HIRSCHI Marc,26509,0.0,0
9,1.WT3,Cadel Evans Great Ocean Road Race,40904,BENNETT George,12254,0.0,0
10,1.WT3,Cadel Evans Great Ocean Road Race,40904,QUINN Sean,29331,0.0,0
1,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,LOPEZ MORENO Miguel Angel,23334,0.0,0
2,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,GANNA Filippo,24057,0.0,0
3,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,HIGUITA GARCIA Sergio Andres,25026,0.0,0
4,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,RUBIO REYES Einer Augusto,27024,0.0,0
5,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,RIVERA VARGAS Brandon Smith,26283,0.0,0
6,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,PAREDES AVELLANEDA Cesar Nicolas,20614,0.0,0
7,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,EVENEPOEL Remco,28377,0.0,0
8,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,VERMAERKE Kevin,29332,0.0,0
9,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,RICCITELLO Matthew,31559,0.0,0
10,2.PS,"Vuelta a San Juan, General classification (prov.)",40873,SIMMONS Quinn,30666,0.0,0
1,2.PSs,"Vuelta a San Juan, Stage 7 : San Juan - San Juan (prov.)",40872,WELSFORD Samuel,23517,0.0,0
1,2.1,"La Tropicale Amissa Bongo, General classification",40887,SOUPE Geoffrey,13560,0.0,0
2,2.1,"La Tropicale Amissa Bongo, General classification",40887,AMARI Hamza,32533,0.0,0
3,2.1,"La Tropicale Amissa Bongo, General classification",40887,ROUGIER-LAGANE Christopher,24393,0.0,0
1,1.1,GP La Marseillaise,40903,POWLESS Neilson,24902,0.0,0
2,1.1,GP La Marseillaise,40903,FERRON Valentin,28375,0.0,0
3,1.1,GP La Marseillaise,40903,VAN MOER Brent,28448,0.0,0
1,1.1,Trofeo Playa de Palma,40902,VERNON Ethan,30035,0.0,0
2,1.1,Trofeo Playa de Palma,40902,GIRMAY HAILU Biniam,29474,0.0,0
3,1.1,Trofeo Playa de Palma,40902,VAN DE PAAR Jarne,29798,0.0,0
1,2.1s,"La Tropicale Amissa Bongo, Stage 7 : Cap Esterias - Libreville",40886,SALBY Alexander,26419,0.0,0
1,NC4,National Championships Thailand (Thong Pha Phum) R.R.,40908,KLAHAN Noppachai,31282,0.0,0
1,NC5,National Championships Namibia (Windhoek) R.R.,40906,DE LANGE Tristan,28491,0.0,0
1,2.PSs,"Vuelta a San Juan, Stage 6 : San Juan - San Juan (prov.)",40871,WELSFORD Samuel,23517,0.0,0
1,1.1,Trofeo Serra de Tramuntana,40900,GOOSSENS Kobe,23771,0.0,0
2,1.1,Trofeo Serra de Tramuntana,40900,VAN EETVELT Lennert,32225,0.0,0
3,1.1,Trofeo Serra de Tramuntana,40900,VAN WILDER Ilan,29828,0.0,0
1,2.1s,"La Tropicale Amissa Bongo, Stage 6 : Port Gentil - Port Gentil",40885,LAUK Karl Patrick,25669,0.0,0
1,NC5,National Championships Lesotho R.R.,40918,MAKATILE Kabelo,33573,0.0,0
1,2.PSs,"Vuelta a San Juan, Stage 5 : Plaza de Chimbas - Alto del Colorado (prov.)",40870,LOPEZ MORENO Miguel Angel,23334,0.0,0
1,1.1,"Trofeo Andratx - Mirador des Colomer, Pollença",40901,GOOSSENS Kobe,23771,0.0,0
2,1.1,"Trofeo Andratx - Mirador des Colomer, Pollença",40901,SANCHEZ MAYO Pelayo,31655,0.0,0
3,1.1,"Trofeo Andratx - Mirador des Colomer, Pollença",40901,VAN EETVELT Lennert,32225,0.0,0
1,2.1s,"La Tropicale Amissa Bongo, Stage 5 : Kango - Angondje",40884,FERNANDEZ RUIZ Miguel Angel,26985,0.0,0
1,NCT4,National Championships Thailand (Thong Pha Phum) I.T.T.,40907,CHAWCHIANGKWANG Peerapol,11810,0.0,0
