race_id,start_number,rider,cq_rider_id,team,country,team_captain,team_captain_id,price,dropped_out
197,1,Mauricio Moreira,25466,Glassdrive / Q8 / Anicolor,URU,-,-,-,
197,2,Frederico Figueiredo,19932,Glassdrive / Q8 / Anicolor,POR,-,-,-,
197,3,Luis Mendonça,19932,Glassdrive / Q8 / Anicolor,,-,-,-,
197,4,Fabio Costa,28152,Glassdrive / Q8 / Anicolor,POR,-,-,-,
197,5,James Whelan,26953,Glassdrive / Q8 / Anicolor,AUS,-,-,-,
197,6,Rafael Reis,18791,Glassdrive / Q8 / Anicolor,POR,-,-,-,
197,7,Artem Nych,22524,Glassdrive / Q8 / Anicolor,RUS,-,-,-,
197,11,Daniel Babor,27937,Caja Rural-Seguros RGA,CZE,-,-,-,
197,12,Tomas Barta,27940,Caja Rural-Seguros RGA,CZE,-,-,-,
197,13,Calum Johnston,30492,Caja Rural-Seguros RGA,GBR,-,-,-,
197,14,Joseba Lopez,30492,Caja Rural-Seguros RGA,,-,-,-,
197,15,Yesid Pira,32150,Caja Rural-Seguros RGA,COL,-,-,-,
197,16,Jaume Guardeño,32150,Caja Rural-Seguros RGA,,-,-,-,
197,17,Gorka Sorarrain,32150,Caja Rural-Seguros RGA,,-,-,-,
197,21,Jon Agirre,30023,Equipo Kern Pharma,ESP,-,-,-,
197,22,Ibon Ruiz,30746,Equipo Kern Pharma,ESP,-,-,-,1
197,23,Mikel Retegi,30746,Equipo Kern Pharma,,-,-,-,1
197,24,Eugenio Sanchez,32765,Equipo Kern Pharma,ESP,-,-,-,
197,25,Iñigo Elosegui,26986,Equipo Kern Pharma,ESP,-,-,-,
197,26,Ivan Cobo Cayon,31277,Equipo Kern Pharma,ESP,-,-,-,
197,27,Yanne Dorenbos,31277,Equipo Kern Pharma,,-,-,-,
197,31,Miguel Angel Fernandez,23334,Burgos-BH,COL,Nick Veenstra,Nicky,5,
197,32,Clément Alleno,33654,Burgos-BH,FRA,-,-,-,
197,33,Sinuhé Fernandez,31493,Burgos-BH,ESP,-,-,-,
197,34,Óscar Pelegrí,25318,Burgos-BH,ESP,-,-,-,
197,35,Mario Aparicio,31664,Burgos-BH,ESP,-,-,-,
197,36,Camilo Ardila,30067,Burgos-BH,COL,-,-,-,
197,37,David Delgado,30067,Burgos-BH,,-,-,-,
197,41,Antonio Soto,22582,Euskaltel-Euskadi,ESP,-,-,-,
197,42,Unai Iribar,28237,Euskaltel-Euskadi,ESP,-,-,-,
197,43,Txomin Juaristi,27111,Euskaltel-Euskadi,ESP,-,-,-,
197,44,Mikel Iturria,21163,Euskaltel-Euskadi,ESP,-,-,-,
197,45,Unai Cuadrado,29424,Euskaltel-Euskadi,ESP,-,-,-,
197,46,Luis Angel Mate,3558,Euskaltel-Euskadi,ESP,-,-,-,
197,47,Andoni Lopez de Abetxuko,31266,Euskaltel-Euskadi,ESP,-,-,-,
197,51,Ivan Moreno,26853,Global 6 Cycling,ESP,-,-,-,1
197,52,Jonas Hjorth,26853,Global 6 Cycling,,-,-,-,1
197,53,Gabriel Muller,26853,Global 6 Cycling,,-,-,-,
197,54,Nicolas  Sessler,26853,Global 6 Cycling,,-,-,-,
197,55,Callum Ormiston,29773,Global 6 Cycling,RSA,-,-,-,
197,56,Tomoya Koyama,29773,Global 6 Cycling,,-,-,-,1
197,57,Evan Russell,32770,Global 6 Cycling,CAN,-,-,-,1
197,61,Léo Bouvier,29045,BIKE AID,FRA,-,-,-,
197,62,Wesley Mol,29045,BIKE AID,,-,-,-,
197,63,Adrian Zuger,34642,BIKE AID,GER,-,-,-,1
197,64,Francis Juneau,32805,BIKE AID,CAN,-,-,-,1
197,65,Anton Schiffer,32805,BIKE AID,,-,-,-,
197,66,Jonas Beck,32805,BIKE AID,,-,-,-,
197,71,Oscar Cabedo,27362,Team Vorarlberg,ESP,-,-,-,
197,72,Lukas Rüegg,26939,Team Vorarlberg,SUI,-,-,-,
197,73,Pirmin Benz,29411,Team Vorarlberg,GER,-,-,-,
197,74,Jon Knolle,27883,Team Vorarlberg,GER,-,-,-,
197,75,Lukas Meiler,22219,Team Vorarlberg,GER,-,-,-,
197,76,Colin Stüssi,20681,Team Vorarlberg,SUI,-,-,-,
197,77,Moran Vermeulen,27271,Team Vorarlberg,AUT,-,-,-,
